da,da-DK-Wavenet-A,da-DK,FEMALE
de,de-DE-Wavenet-A,de-DE,FEMALE
en,en-GB-Wavenet-A,en-GB,FEMALE
fr,fr-CA-Wavenet-A,fr-CA,FEMALE
it,it-IT-Wavenet-A,it-IT,FEMALE
ja,ja-JP-Wavenet-A,ja-JP,FEMALE
ko,ko-KR-Wavenet-A,ko-KR,FEMALE
nl,nl-NL-Wavenet-A,nl-NL,FEMALE
pt,pt-BR-Wavenet-A,pt-BR,FEMALE
ru,ru-RU-WaveNet-A,ru-RU,FEMALE
sk,sk-SK-Wavenet-A,sk-SK,FEMALE
sv,sv-SE-Wavenet-A,sv-SE,FEMALE
tr,tr-TR-Wavenet-A,tr-TR,FEMALE
es,es-ES-Standard-A,es-ES,FEMALE
